"escola","tipo","uf","medalha_count"
"COLEGIO NUCLEO","P","PE","6"
"ERC E F M S RAIMUNDO NONATO","E","PA","6"
"ESC MUN ENS FUN SANTA CRUZ","M","RS","6"
"BANDEIRANTES COLEGIO EFM","P","SP","6"
"EE DR JOSE AUGUSTO","E","MG","6"
"EEEF ANISIO SERRAO DE CARVALHO","E","RO","6"
"EM PROF DORIOL BEATO","M","MG","6"
"EBM MACHADO DE ASSIS","M","SC","6"
"EE TEREZINHA PEREIRA","E","MG","6"
"ESC MUN ENS FUN PASTOR RODOLFO SAENGER","M","RS","6"
"EEEFM GISELA SALLOKER FAYET","E","ES","6"
"ESCOLA MUNICIPAL MIGUEL LOURENÇO REIS","M","BA","6"
"EMEF PROF JOSE TOLEDO DE MENDONÇA","M","SP","6"
"CENTRO EDUC MUN IOMERE","M","SC","6"
"EMEF ELZA REGINA FERREIRA BEVILACQUA","M","SP","6"
"ESC MUN PROF VIRGINIA SOARES","M","SC","6"
"ESC MUN ENS FUN PROF. ADOLFINA J M DIEFENTHALER","M","RS","6"
"MARCOS RIBEIRO CEL","E","SP","6"
"IFES - CAMPUS SERRA","F","ES","6"
"EM JOSE FERREIRA BASTOS","M","MG","6"
"EE PARAISENSE","E","MG","6"
"EE PROF JOSE HUGO GUIMARAES","E","MG","6"
"ESCOLA ESTADUAL TEN CORONEL CANDIDO JOSE MARIANO","E","AM","6"
"AMORIM LIMA, DES.","M","SP","6"
"IFRJ - CAMPUS VOLTA REDONDA","F","RJ","6"
"ESC MUN ENS FUN ANGELO CHIELE","M","RS","6"
"ESC SAO JOSE","E","AC","6"
"ESC MUN ENS FUN DUQUE DE CAXIAS","M","RS","5"
"IFMS - CAMPUS CAMPO GRANDE","F","MS","5"
"ESC MUL 1 E 2 GR CON AMBROSIO SILVA","M","RN","5"
"SANTO ANTONIO, E E - E FUND","E","PR","5"
"SEGUNDO COLEGIO DA POLICIA MILITAR DO ESTADO DO RIO DE JANEIRO","E","RJ","5"
"COL PODION","P","DF","5"
"COLEGIO GGE","P","PE","5"
"INST DE APLIC FERNANDO R DA SILVEIRA CAP/UERJ","E","RJ","5"
"EEEFM ARRUDA CAMARA","E","PB","5"
"BRASILIA DE SAO PAULO COLEGIO","P","SP","5"
"EB OLAVO BILAC","M","SC","5"
"ESCOLA MUNICIPAL NOSSA SENHORA DA PAZ","M","PI","5"
"CID CHIARELLI PROF DA FUNDACAO EDUC GUACUANA","M","SP","5"
"EE EMILIO JARDIM","E","MG","5"
"PENTAGONO COLEGIO UNIDADE MORUMBI","P","SP","5"
"PLACIDO ADERALDO CASTELO EEM","E","CE","5"
"E M E F MARECHAL RONDON","M","PA","5"
"EMEF PROFª MARIA DE MELO","M","SP","5"
"ESCOLA MUNICIPAL 04 DE JULHO","M","MT","5"
"ALCIDES MUNHOZ, ESC EST - ENS FUND","E","PR","5"
"INSTITUTO FEDERAL DO ES - CAMPUS COLATINA","F","ES","5"
"IF FLUMINENSE - CAMPUS CAMPOS CENTRO","F","RJ","5"
"EEEFM VICTORIO BRAVIM","E","ES","5"
"COL TIRADENTES PMMG STA TEREZA","E","MG","5"
"COLEGIO ESTADUAL DE TANQUE NOVO","E","BA","5"
"COLEGIO SANTO INACIO","P","RJ","5"
"COLEGIO PEDRO II ( UNID. TIJUCA II )","F","RJ","5"
"COL. DA POLICIA MILITAR DO CEARA GENERAL EDGARD FACÓ","E","CE","5"
"COLEGIO DE APLICACAO UFSC","F","SC","5"
"EE EDUARDO FRIEIRO","E","MG","5"
"COLEGIO MILITAR ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO CEL PM DERLY LUIZ VIEIRA BORGES","E","RR","5"
"ESC EST PROF IRINEU DA GAMA PAES","E","AP","5"
"COL MUNICIPAL RIO BRANCO","M","MG","5"
"ANEXO I DO COLEGIO DA POLICIA MILITAR PETROLINA","E","PE","5"
"PAULO FREIRE EMEF","M","SP","5"
"COL DE APLIC. DA UNIV. FED. DO RIO DE JANEIRO","F","RJ","5"
"LYSIA PIMENTEL GOMES SAMPAIO SALESEEEP","E","CE","5"
"PORTO SEGURO VISCONDE COLEGIO","P","SP","5"
"ESC.EST.PROF.DJALMA DA CUNHA BATISTA","E","AM","5"
"COLÉGIO ELIZA MOREIRA FERRAZ","M","MA","5"
"E. E. ENSINO FUNDAMENTAL AFONSO PENA","E","RS","5"
"ANTONIO MILITAO DE LIMA","E","SP","5"
"DALVA VIEIRA ITAVO PROFA","E","SP","5"
