"escola","tipo","uf","medalha_count"
"SANTA TEREZINHA, E E - E FUND","E","PR","2"
"COLEGIO MARIA AUXILIADORA","P","RS","2"
"IFSP - CAMPUS SAO CARLOS","F","SP","2"
"ESC MUL DO TAMBORIL","M","PI","2"
"EEB CEL CID GONZAGA","E","SC","2"
"PAULINO BOTELHO ETE","E","SP","2"
"ESC EST ENS MÉDIO MARCELINO CHAMPAGNAT","E","RS","2"
"LUCIA NOVAIS BRANDAO PROFA EM","M","SP","2"
"CENTRO EDUC MUN PROFA MARIA IRACEMA MARTINS DE ANDRADE","M","SC","2"
"FLORESTAN FERNANDES PROF EMEF","M","SP","2"
"EMEF CAMINHOS DO SABER","M","RS","2"
"EEB PROFª DOLVINA LEITE DE MEDEIROS","E","SC","2"
"EM BENJAMIN CONSTANT","M","MG","2"
"JOSÉ EUCLIDES F GOMES JUNIOR EEFM DR","E","CE","2"
"E M E F STA MARIA GORETTI","M","PA","2"
"EE JULIANA CATARINA DA SILVEIRA","E","MG","2"
"COL FREI GERMANO DE CEDRATE","M","MA","2"
"ESCOLA MULTIPLA","P","ES","2"
"JUVENAL DA COSTA E SILVA PROF. EMEF","M","SP","2"
"EE FRANCISCO DO CARMO","E","MG","2"
"EMEF ALTO PARAJU","M","ES","2"
"ESCOLA BRITANICA - THE BRITISH SCHOOL RIO DE JANEIRO URCA","P","RJ","2"
"E E E M MARIA DA GLORIA R PAIXAO","E","PA","2"
"JOAO XXIII, C E - E FUND MEDIO","E","PR","2"
"ESC ANTONIO CARLOS MAGALHAES","M","BA","2"
"ESCOLA PROJETO ED INFANTIL E ENSFUDAMENTAL","P","PR","2"
"CEM SETOR OESTE","E","DF","2"
"EM GILBERTO JOSE TANUS BRAZ","M","MG","2"
"EE DR VIVIANO CALDAS","E","MG","2"
"EEEFM MARCELO CANDIA SUBSEDE I","E","RO","2"
"CLOVIS DE LUCCA PROF","E","SP","2"
"ESC. EST. DE EDUCAÇÃO BÁSICA ÉRICO VERÍSSIMO","E","RS","2"
"EMEIEF DARLY NERTY VERVLOET","M","ES","2"
"EE DR. MARTINHO MARQUES","E","MS","2"
"ESC MUL DE CONTETAMENTO","M","PI","2"
"ESC EST PRES COSTA E SILVA","E","TO","2"
"C E ANTONIO XAVIER DA SILVEIRA - ENS FUN MÉDIO E NORMAL","E","PR","2"
"LUIS AMARAL MOUSINHO DOM EMEFEM","M","SP","2"
"ESC MUN ENS FUN VINTE E NOVE DE ABRIL","M","RS","2"
"EEB CEL PEDRO CHRISTIANO FEDDERSEN","E","SC","2"
"CENTRO DE ED DO MUNICIPIO DE MAFRA","M","SC","2"
"ESC MUN JOAQUIM VICENTE DE OLIVEIRA","M","SC","2"
"FRANCISCO DE MONT' ALVERNE, FREI","M","SP","2"
"EMEF ANA MARIA GOMES","M","PB","2"
"JOSE DE ANCHIETA, C E - E F M N P","E","PR","2"
"COLEGIO PONTUAL CENTRO EDUCACIONAL","P","PE","2"
"EE PROFA DINALVA MARIA DE SOUZA","E","MG","2"
"EB PREF ACACIO GARIBALDI SAO THIAGO","M","SC","2"
"XILOIASSO INAGUE EMEF","M","SP","2"
"RIO BRANCO COLEGIO","P","SP","2"
"ESC.EST.GUILHERME BUZAGLO","E","AM","2"
"PAULO LUIG FREI","E","SP","2"
"EMEB ANTONIO ESTANISLAU AYROSO","M","SC","2"
"SAO JOSE COLEGIO","P","SP","2"
"BAIRRO RECANTO ELIMAR","E","SP","2"
"IFCE - CAMPUS QUIXADA","F","CE","2"
"EEIEF DOM JOSÉ MAURO","M","CE","2"
"COLEGIO WRJ","P","GO","2"
"EE PE JOAQUIM XAVIER L CANCADO","E","MG","2"
"EMEFM MARIANO FERREIRA DE NAZARETH","M","ES","2"
"E M PROF SYLVIO SNIECIKOVSKI","M","SC","2"
"CARLOS A.CAMARGO, C E - E FUND MEDIO","E","PR","2"
"ESC. EST. PINDORAMA","E","MT","2"
"ESCOLA MUNICIPAL SAO MIGUEL","M","PE","2"
"EMEIEF PE PAULO PETRUZZÉLLIS","M","SC","2"
"ESC EST ED BAS BARRAGEM DO RIO PASSO FUNDO","E","RS","2"
"SESI 303 CENTRO EDUCACIONAL","P","SP","2"
"EM PROFA FRANCISCA MARTINS GODOY","M","MG","2"
"MARIA LUIZA BASTOS PROFA","E","SP","2"
"ESC EST DE ENS MED GUSTAVO BIAZUS","E","RS","2"
"RAPOSO TAVARES EMEF","M","SP","2"
"EEB PROFA MARIA SOLANGE LOPES","E","SC","2"
"GRUPO MUNICIPAL CLÁUDIO DANIEL GAMA AMORIM","M","AL","2"
"COLEGIO FARIAS BRITO SOBRALENSE","P","CE","2"
"EDUCANDARIO EVANGELICO EBENEZER","E","TO","2"
"COLÉGIO TIRADENTES DA POLÍCIA MILITAR","E","MG","2"
"D.PEDRO DE ALCANTARA EMEF","M","SP","2"
"ESC MUN IRMA FILOMENA RABELO","M","SC","2"
"CED LEONARDO DA VINCI","P","DF","2"
"EM PROFA DIDIA MACHADO FORTES","M","RJ","2"
"MEDALHA MILAGROSA, E E - E FUND","E","PR","2"
"OBJETIVO COLEGIO DE CAMPINAS UNIDADE BARAO GERALDO","P","SP","2"
"TELEYOS COLEGIO","P","CE","2"
"ANTONIO PINTO DE ALMEIDA FERRAZ DR","E","SP","2"
"TEOFILO DE ANDRADE DR","E","SP","2"
"SEBASTIAO FERNANDES PALMA PROF","E","SP","2"
"COLEGIO LEIBNIZ","P","MT","2"
"EE STA RITA DE CASSIA","E","MG","2"
"ELIETE APARECIDA SANFINS FUSUSSI PROFA EMEF","M","SP","2"
"EEEFM GRACA ARANHA","E","ES","2"
"UNIDADE ESCOLAR MARIA DA CONCEICAO SOARES SILVA","M","MA","2"
"E.M. NARCISA AMALIA","M","RJ","2"
"ESC MUN ENS FUND DANTE BERTOLUCI","M","RS","2"
"ESC MUN PAUL HARRIS","M","SC","2"
"CAMPOS SALES, EEFM","E","CE","2"
"EEEF DR EMILIO ROBERTO ZANOTTI","E","ES","2"
"EEB LEOPOLDO JACOBSEN","E","SC","2"
"ANTONIO ALVES CAVALHEIRO","E","SP","2"
"COLEGIO NOSSA SENHORA MEDIANEIRA","P","PR","2"
"III CPM/ERJ PERCY GERALDO BOLSONARO","E","RJ","2"
"EEEF MARIA DE ABREU BIANCO","E","RO","2"
"EM BERNARDO FERREIRA GUIMARAES","M","MG","2"
"ITAPETININGA SISTEMA EDUCACIONAL DE ENSINO DE","P","SP","2"
"E M E F DARCY RIBEIRO","M","PA","2"
"ESC JOANA RIBEIRO AMED","E","AC","2"
"MARIA APARECIDA SANTOS RONCONI PROFA EMEF","M","SP","2"
"EE MONS JOAO BATISTA DA SILVEIRA","E","MG","2"
"EMEF ADILSON DA SILVA CASTRO","M","ES","2"
"EMEF MARIA LENILDA DE SOUZA","M","CE","2"
"EMEF VEREADORA CELIA DIAS BATISTA DOS SANTOS","M","SP","2"
"ALBERT SABIN ESCOLA DE EDUCACAO INFANTIL E PG","P","SP","2"
"EMEF OTTO HOFFMANN","M","RS","2"
"COLEGIO DA POLICIA M. ANTONIO C. MAGALHÁES","E","BA","2"
"E M E F MARIA LUCIA NASCIMENTO DA SILVA","M","PA","2"
"COLEGIO SAO PAULO","P","BA","2"
"ESCOLA ESTADUAL DR. HELIO PALMA DE ARRUDA","E","MT","2"
"ESCOLA MUNICIPAL NILZA COELHO LIMA","M","MA","2"
"EEF MINISTRO PETRONIO PORTELLA","M","ES","2"
"CENTRO DE ENSINO TECNICO IDEAL","P","PA","2"
"CARLOS ROSA DR","E","SP","2"
"ESCOLA PAULINA MONTEIRO","E","PE","2"
"EDUCANDARIO IMACULADA CONCEICAO","P","SC","2"
"MIRASSOL COLEGIO UNIDADE I","P","SP","2"
"ESCOLA MUNICIPAL 03.12.043 CÍVICO-MILITAR CARIOCA","M","RJ","2"
"EMEF CRISTO REI","M","RS","2"
"COLEGIO MARISTA SANTO ANGELO","P","RS","2"
"EE CORONEL AMANTINO MACIEL","E","MG","2"
"EEF GOVERNADOR WALDEMAR DE ALCANTARA","M","CE","2"
"ESCOLA ESTADUAL ANISIO TEIXEIRA","E","BA","2"
"MARIANA TEIXEIRA CORNELIO PROFA EMEF","M","SP","2"
"FRANCISCO G.DE LIMA C E V - E FUND/MEDIO","E","PR","2"
"COLEGIO ESIC - ENSINO MEDIO","P","PR","2"
"EE CONEGO FRANCISCO STELLA","E","MG","2"
"EEB WALTER PROBST","E","SC","2"
"PROGRESSO CAMPINEIRO COLEGIO","P","SP","2"
"POLIVALENTE GOIOERE, C E - E FUND MEDIO","E","PR","2"
"ESCOLA MUNICIPAL CORONEL ANTÔNIO PESSOA","M","PB","2"
"INST EST EDUC NOSSA SENHORA IMACULADA","E","RS","2"
"ESCOLAS IDAAM - UNIDADE DJALMA BATISTA","P","AM","2"
"EMEF JOSE GIL XAVIER DE FREITAS","M","PB","2"
"ESC COLEGIO ACREANO","E","AC","2"
"EB MUN PROFª ALDA SANTOS DE VARGAS","M","SC","2"
"EEEFM JUSCELINO KUBITSCHEK","E","RO","2"
"PARANA, COL EST DO - ENSINO MEDIO E PROF","E","PR","2"
"ESCOLA MUNICIPAL JOAO NASCIMENTO FILHO","M","SE","2"
"VISCONDE DE PORTO SEGURO COLEGIO UNIDADE III","P","SP","2"
"EE AFONSO PENA JUNIOR","E","MG","2"
"EE SAO SEBASTIAO","E","MG","2"
"C ENS DES AGRARIO FLORESTAL","F","MG","2"
"MAJOR ARCY","E","SP","2"
"JULIO PRESTES DE ALBUQUERQUE DR","E","SP","2"
"EE CASTRO ALVES","E","MS","2"
"C.E. CORONEL JOAO LIMONGI","E","RJ","2"
"SAO CARLOS INSTITUTO EDUCACAO DE ENSINO FUNDAMENTAL E MEDIO","P","SP","2"
"COLEGIO ESTADUAL MANOEL ALCINO DO NASCIMENTO","E","SE","2"
"ESC EST PROFª MARIA NILCE BRANDÃO","E","RR","2"
"EE TRAJANO PROCOPIO A S MONTEIRO","E","MG","2"
"CULTURA E LIBERDADE","E","SP","2"
"E M E F MARIA DE FATIMA PINTO DE OLIVEIRA","M","PA","2"
"EE PADRE NUNES","E","MS","2"
"IFSP - CAMPUS GUARULHOS","F","SP","2"
"MERCEDES RACHID EDWARDS EMEF","M","SP","2"
"SAO PAULO APOSTOLO, C E - E FUND MEDIO","E","PR","2"
"COLEGIO PH","P","RJ","2"
"ESC EST FREDERICO JOSE PEDREIRA NETO","E","TO","2"
"EEB CONSELHEIRO ASTROGILDO ODON AGUIAR","E","SC","2"
"ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE III","P","SP","2"
"E.E.E. MÉDIO 10 DE SETEMBRO","E","RS","2"
"EE DE 1 E 2 G JOSE CALAZANS FREIRE","E","RN","2"
"CENTRO EDUCACIONAL JOSÉ MARCELO PESSOA","M","PI","2"
"DRUMMOND COLEGIO","P","SP","2"
"LEONOR PINTO THOMAZ EM","M","SP","2"
"OSHIMAN COLEGIO","P","SP","2"
"COLEGIO CHRISTUS DIONISIO TORRES","P","CE","2"
"COLEGIO MARTIN LUTHER","P","RS","2"
"CENTRO DE EDUC MUN LINDOLFO CORDEIRO LANDI","M","BA","2"
"COLEGIO CATARINENSE","P","SC","2"
"PIONEIRO CENTRO EDUCACIONAL","P","SP","2"
"ESC EST PROF ANTONIO MUNHOZ LOPES","E","AP","2"
"ESC NEUTEL MAIA","E","AC","2"
"COLEGIO OFICINA DO ESTUDANTE - UNIDADE TAQUARAL","P","SP","2"
"CEV COLEGIO","P","PI","2"
"EMEIF JOSE ALCIDES PINTO","M","CE","2"
"COLEGIO SANT ANA","P","MG","2"
"PARQUE ECOLOGICO INSTITUTO EDUCACIONAL","P","SP","2"
"CEF CASEB","E","DF","2"
"ESCOLA JOAQUIM MENDES DA SILVA","E","PE","2"
"ESC MUN DE ENS FUND ALBANO KANZLER","M","SC","2"
"COLEGIO FRANCISCANO NOSSA SENHORA DE FATIMA","P","PR","2"
"JARAGUA ESCOLA TECNICA ESTADUAL","E","SP","2"
"EE FERNANDO DA COSTA AMARAL","E","MG","2"
"EMEF HELMUTH GUILHERME DUWE","M","SC","2"
"ESCOLA FRANCISCO FILGUEIRA SAMPAIO","M","PE","2"
"ESCOLA PAN AMERICANA DA BAHIA","P","BA","2"
"ESC BARAO DO RIO BRANCO","P","SC","2"
"ESC FUND DO C PEDAG DA UFMG","F","MG","2"
"EE AMADEU GONCALVES BOAVENTURA","E","MG","2"
"IFFARROUPILHA - CAMPUS SANTA ROSA","F","RS","2"
"DR JOSE ALVES DA SILVEIRA EEEP","E","CE","2"
"CENTRO INTEGRADO SESI-SENAI ROBSON BRAGA DE ANDRADE","P","MG","2"
"EE PROFA NILZA GOMES BERGMAN","E","MG","2"
"ESCOLA ESTADUAL DA POLÍCIA MILITAR TIRADENTES","E","MT","2"
"RECANTO INF IMACULADA CONCEICAO","P","RJ","2"
"IFPA - CAMPUS PARAGOMINAS","F","PA","2"
"GRACILIANO RAMOS ESC EST-ENS FUNDAMENTAL","E","PR","2"
"ILGA PUSPLATAIS PROFA EMEF","M","SP","2"
"UNID ESC GAYOSO E ALMENDRA","E","PI","2"
"VALOIS SCORTECCI","E","SP","2"
"COMPLEXO EDUC TANCREDO NEVES","M","SC","2"
"EM PROF DOMINGOS PIMENTEL ULHOA","M","MG","2"
"COLEGIO MAGNUM AGOSTINIANO - NOVA FLORESTA","P","MG","2"
"EEBM PREF WALDEMAR KLEINUBING","M","SC","2"
"EEB EUCLIDES DA CUNHA","E","SC","2"
"EM RITA MARIA SILVA","M","MG","2"
"EEEP PROF. WALQUER CAVALCANTE MAIA","E","CE","2"
"CAMPUS TERESINA CENTRAL DO INSTITUTO FEDERAL DO PIAUI","F","PI","2"
"ESC EST ENS MED JOAO WAGNER","E","RS","2"
"SAO JOSE COLEGIO AGOSTINIANO","P","SP","2"
"EMEIF BARBARA DE ALENCAR","M","CE","2"
"EMEB GOV ORESTES QUÉRCIA","M","SP","2"
"EEEFM GERALDO VARGAS NOGUEIRA","E","ES","2"
"ESC EST ENS MED MONSENHOR JOSE BECKER","E","RS","2"
"LUSTOSA, E R E DE - E FUND","E","PR","2"
"ESC MUN ENS FUN MACHADO DE ASSIS","M","RS","2"
"WILSON PRESTES MIRAMONTES PROF","E","SP","2"
"CENTRO MUN ED BAS VER AVELINO BISCARO","M","SC","2"
"HEITOR DE ANDRADE","M","SP","2"
"MARIA APPARECIDA NELLI INSPETORA EMEF","M","SP","2"
"IFRN - UNIDADE SANTA CRUZ","F","RN","2"
"COLEGIO LEONARDO DA VINCI-ALFA","P","RS","2"
"INSTITUTO FEDERAL DE SANTA CATARINA-CAMPUS JARAGUA DO SUL","F","SC","2"
"IFRN CAMPUS CAICO","F","RN","2"
"IFSP - CAMPUS CAMPINAS","F","SP","2"
"FRANCISCO DE PAULA ABREU SODRE DR","E","SP","2"
"EM LICEU RIBAMARENSE","M","MA","2"
"INSTITUTO EDUCACIONAL MARGARIDA REZENDE","P","MG","2"
"CEU EMEF CASA BLANCA","M","SP","2"
"EEF MUN PROFª ISAURA G GEVAERD","M","SC","2"
"QUATRO PONTES, C E - E FUND MEDIO","E","PR","2"
"EE JOSE VIEIRA DA SILVA","E","MG","2"
"EE DR JUSCELINO BARBOSA","E","MG","2"
"ESC ESTADUAL WILSON DE ALMEIDA","E","MT","2"
"E.M. ANISIO TEIXEIRA","M","RJ","2"
"EE LINCOLN FELICIANO","E","SP","2"
"MARIA VANIA FARIAS LINHARES","M","CE","2"
"CECILIA MEIRELES COLEGIO","P","SP","2"
"EE DR GUILHERMINO DE OLIVEIRA","E","MG","2"
"EMEF WALDEMAR SCHMITZ","M","SC","2"
"ESC EST GERCINA BORGES TEIXEIRA","E","TO","2"
"COLEGIO ESTADUAL PIRATINI","E","RS","2"
"JOSE PINHEIRO PESSOA, EEF CEL","M","CE","2"
"COLEGUIUM - UNIDADE DE SETE LAGOAS","P","MG","2"
"E M NILTON BALTHAZAR","M","RJ","2"
"COLEGUIUM - ENSINO FUNDAMENTAL E MEDIO","P","MG","2"
"EE SAO SEBASTIAO DO MARANHAO","E","MG","2"
"LICEU JARDIM","P","SP","2"
"EE DR JACINTO CAMPOS","E","MG","2"
"KENNEDY, COL EST PRES - ENS FUND /MÉD /EDUC ESP","E","PR","2"
"BENEDITO FERREIRA LOPES CENTRO MUN DE PROG EDUCACIONAIS","M","SP","2"
"ESC MUN ENS FUN PROFESSOR TEOBALDO CLOSS","M","RS","2"
"EEB PE ANTONIO VIEIRA","E","SC","2"
"COLEGIO VISAO","P","GO","2"
"ANTONIO PRADO CONSELHEIRO ETE","E","SP","2"
"EE 13 DE MAIO","E","MS","2"
"IFSULDEMINAS - CAMPUS PASSOS","F","MG","2"
"JOSE FELICIANO DE OLIVEIRA PROF","E","SP","2"
"INSTITUTO FEDERAL FLUMINENSE - CAMPUS MACAÉ","F","RJ","2"
"INTERATIVO CURSO E COLEGIO","P","SP","2"
"IFRS - CAMPUS OSORIO","F","RS","2"
"COLEGIO INTERNACIONAL DE CURITIBA - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO","P","PR","2"
"ESC EST ED BAS PROF MATHIAS SCHULTZ","E","RS","2"
"ESC EST ENS MED ARMINDO EDWINO SCHWENGBER","E","RS","2"
"EEEP ANTONIO TARCISIO ARAGAO","E","CE","2"
"BENTO M. DA R. NETO,C.E.-E FUND. E MEDIO","E","PR","2"
"EE PROFª SUELY MARIA C A BATISTA","E","SP","2"
"RIO BRANCO,E.E.BAR DO - ENS. FUNDAMENTAL","E","PR","2"
"VILA ALTA, C E - E FUND MEDIO","E","PR","2"
"ESCOLA ESTADUAL RUY BARBOSA","E","BA","2"
"CELSO PIVA PROF","E","SP","2"
"ESCOLA ESTADUAL EEPM TIRADENTES MAJOR PM ERNESTINO","E","MT","2"
"ESC.MUL.PROF.ª FRANCISCA P.DE ARAÚJO","M","AM","2"
"ESC FONTINELLE DE CASTRO","E","AC","2"
"ESC.EST.FUETH PAULO MOURAO","E","AM","2"
"MARIO D'ELIA","E","SP","2"
"LUDOVICA SAFRAIDER, COL EST - ENS FUND ENS MÉDIO","E","PR","2"
"ESC MUN ENS FUN ALBANO HANSEN","M","RS","2"
"CE CÍVICO-MILITAR DARCY JOSE COSTA - EFM","E","PR","2"
"UN EST ENSINO FUND. PRINCESA ISABEL-5 A 8 SERIE","E","RS","2"
"EEF JOAO CALMON","M","ES","2"
"EB HENRIQUE VERAS","M","SC","2"
"LOURDES MARIA DE CAMARGO PROFA","E","SP","2"
"ESC MUN ENS FUN IDALINO PEDRO DA SILVA","M","RS","2"
"COLÉGIO TIRADENTES DA POLÍCIA MILITAR - CTPM V","E","RO","2"
"EE PRES TANCREDO DE ALMEIDA NEVES","E","MG","2"
"COLÉGIO TIRADENTES POLICIA MILITAR","E","AL","2"
"CRUZEIRO DO OESTE, COL EST ENS FUND MED","E","PR","2"
"EB MUN DIOGO ALVES DA SILVA","M","SC","1"
"ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL HUGO ZIMMER","M","RS","1"
"E M E B MANOEL GUERREIRO RODRIGUES","M","PA","1"
"CEF 01 DO NUCLEO BANDEIRANTE","E","DF","1"
"EM DESEMBARGADOR SARNEY COSTA","M","MA","1"
"EM PINGO DE GENTE","M","MS","1"
"EEB BELISARIO PENA","E","SC","1"
"E.E. FLÁVIO DE CARVALHO","E","SP","1"
"EEEF JOANA IVONILDES BANDEIRA","E","PB","1"
"EM ELIZA NUNES","M","MA","1"
"NEUSA CESTARI FABRI PROFA","E","SP","1"
"EMEB PROFº RICARDO HOFFMANN","M","SC","1"
"EE SINHANINHA GONCALVES","E","MG","1"
"E M E F 21 DE ABRIL","M","PA","1"
"ESC MUN PROFº JOAO BERNARDINO DA S JUNIOR","M","SC","1"
"UNID ESC PADRE SAMPAIO","E","PI","1"
"EE PROF ALBERTO PEREIRA","E","SP","1"
"ESCOLA ESTADUAL AURINO MACIEL","E","AL","1"
"EM MANOEL SALVADOR DE OLIVEIRA","M","MG","1"
"CHAFIC CURY, E E DR - E FUND","E","PR","1"
"JOAO PORTUGAL","E","SP","1"
"EM JARDIM BELA VISTA","M","MT","1"
"EEEFM NOSSA SENHORA DA SAUDE","E","ES","1"
"INSTITUTO FEDERAL DO ESPIRITO SANTO - CAMPUS IBATIBA","F","ES","1"
"NARCISO YAGUE GUIMARAES VEREADOR","E","SP","1"
"EMEF EM TEMPO INTEGRAL BILINGUE DOM JOSE MARIA PIRES","M","PB","1"
"EEB MANOEL PEREIRA DE MEDEIROS","E","SC","1"
"OSMAR FRANCISCO DA CONCEICAO DR","E","SP","1"
"UI DR FRANCISCO BATISTA","M","MA","1"
"ESCOLA ESTADUAL D ANTONIO DOS S CABRAL","E","SE","1"
"EE ANTONIO PENNA SOBRINHO","E","MG","1"
"EMEF DOM PEDRO I","M","RS","1"
"ESC EST ENS FUND HERCULINO BALDISSARELLA","E","RS","1"
"IEE PAULO SALDANHA","E","RO","1"
"EE TIBURTINO PENA","E","MG","1"
"MAURILIO TOMANIK PADRE","E","SP","1"
"RANGEL PESTANA","E","SP","1"
"ESCOLA ESTADUAL PEDRO VALADARES","E","SE","1"
"EM PROF LUIS CARLOS GOMES BEATO","M","MG","1"
"EEB GOV BORNHAUSEN","E","SC","1"
"EEB SIMAO JOSE HESS","E","SC","1"
"ESC EST PROF M MERIAN DOS S C FERNANDES","E","AP","1"
"EE EDMUNDO PENA","E","MG","1"
"EMEB MORADA DO SOL","M","SC","1"
"PETRONIO PORTELA,COL E.MIN-E.FUND MEDIO","E","PR","1"
"EMEF MUNDO NOVO","M","ES","1"
"EMEIF JOAO HILDO DE CARVALHO FURTADO","M","CE","1"
"MARIA ANGERAMI SCALAMANDRE","E","SP","1"
"OSCAR THOMPSON","E","SP","1"
"ESC EST DE EDUC BASICA NICOLAU MUSSNICH","E","RS","1"
"ESCOLA MUNICIPAL JOÃO MANOEL DA COSTA","M","PI","1"
"ESCOLA MUNICIPAL CECILIA MEIRELES","M","MT","1"
"CENTRO EDUC DE PINDAI","M","BA","1"
"BASILIO DE LUCCA, ESC EST - ENS. FUND.","E","PR","1"
"JOSE PIOLI, C E - E FUND MEDIO","E","PR","1"
"ESC EST ENS MED ELVIRA JOST","E","RS","1"
"CE CÍVICO MILITAR ARLINDO CARVALHO DE AMORIM - EFM","E","PR","1"
"LUIZ JOSE DIAS PROF","E","SP","1"
"JOSEFA PEREIRA SENA EEIF","M","CE","1"
"E M E F ONEIDE SOUZA TAVARES","M","PA","1"
"EMEB PROF LUIZ PANTANO","M","SP","1"
"ESC MUN ENS FUN PADRE RAIMUNDO DAMIN","M","RS","1"
"JUVINOPOLIS, C E - E FUND MEDIO","E","PR","1"
"GIN MUL FRANCISCO BELO SOUSA","M","PI","1"
"UE RAIMUNDO DE OLIVEIRA CORREA","M","MA","1"
"MARIO TAVARES DR","E","SP","1"
"ESCOLA DE ENSINO FUNDAMENTAL DR MARIO G DE BARROS","M","AL","1"
"ESC MUN DR VILSON PEDRO KLEINUBING","M","SC","1"
"EEB LEOVEGILDO ESMERIO DA SILVA","E","SC","1"
"EMEF SAO JORGE DO BARRA SECA","M","ES","1"
"ANTONIO PINTO DE CAMPOS","M","SP","1"
"ARCHIMEDES ARISTEU MENDES DE CARVALHO PROF","E","SP","1"
"JOSE PEDRO LEITE CORDEIRO, DR.","M","SP","1"
"ESCOLA FELISBERTO CARVALHO","E","PE","1"
"EM SAO ROQUE","M","SC","1"
"WALDEMAR DA SILVA RIGOTTO PROF","E","SP","1"
"ESC MUN ENS FUN JOAO GRENDENE","M","RS","1"
"EEB PROFº SILVIO ROMERO","E","SC","1"
"ANTONIO CUSTODIO AZEVEDO, EI/EF","M","CE","1"
"CENTRO DE ENSINO EM PERIODO INTEGRAL PROFESSORA IZABEL CHRISTINA DE SOUSA ORTIZ","E","GO","1"
"EM ADAO DE FATIMA PEREIRA","M","MG","1"
"EE FREI JOSE WULFF","E","MG","1"
"DIVA FIGUEIREDO DA SILVEIRA","E","SP","1"
"EMEF ABDIAS AIRES DE QUEIROZ","M","PB","1"
"COL EST DA POLÍCIA MILITAR DE GOIÁS JOSÉ SILVA OLIVEIRA","E","GO","1"
"EMEB ARINO BRESSAN","M","SC","1"
"UI MARIA LENIR ARAUJO MENESES","M","MA","1"
"EEEF JOAO FRANCISCO CORREIA","E","RO","1"
"EB MUN ANGELO ARY BIEZUS","M","SC","1"
"NUCLEO ESC MUN JOAO PEDRO ALBERTI","M","SC","1"
"ESC MUL ANTONIO SELLIGMAN","M","PI","1"
"E M E F TEREZINHA DE JESUS","M","PA","1"
"ESCOLA ESTADUAL GUIMARÃES ROSA","E","MG","1"
"EE PREF GERALDO NAPOLEAO DE SOUZA","E","MG","1"
"ESCOLA SEBASTIÃO DIAS","M","BA","1"
"CENTRO EDUCACIONAL LUIS EDUARDO MAGALHÃES","M","BA","1"
"E.M.E.B. EUCLIDES DA CUNHA","M","SP","1"
"EMEIF MARIA DO SOCORRO ALVES CARNEIRO","M","CE","1"
"REGINA VALARINI VIEIRA PROFA","E","SP","1"
"ESCOLA MUNICIPAL PROFESSORA FRANCISCA FLOR","M","PE","1"
"EE SINFRONIO FERNANDES","E","MG","1"
"GRACIEMA BAGANHA RIBEIRO","E","SP","1"
"EMEB VALENTIN BERNARDI","M","SC","1"
"EEEFM DE ECOPORANGA","E","ES","1"
"FRANCISCO MARIANO DA COSTA PROF","E","SP","1"
"JOSE VIRANDA PROF","E","SP","1"
"ESC MUN ENS FUN SAGRADA FAMILIA","M","RS","1"
"EEB PROFª MARIA DO CARMO LOPES","E","SC","1"
"EEEFM TEOFILO PAULINO","E","ES","1"
"EE N SRA DO ROSARIO","E","MG","1"
"E.M. PROFª ZELIA CAROLINA DA S PINHO","M","RJ","1"
"SEBASTIANA ALDIGUERI, EM","M","CE","1"
"ESC. EST. DE ENS. FUND. ALFREDO EDUARDO SZINVELSKI","E","RS","1"
"SILVIO MARIA DARIO DOM E.M","M","SP","1"
"ESC NUCLEO NUMERO UM","M","SC","1"
"ACQUILINO MASSOCHIN C E EF M","E","PR","1"
"E M E F PLACIDO DE CASTRO","M","PA","1"
"ARMANDO CAVAZZA EMEF","M","SP","1"
"EETI ENGENHEIRO PROF SERGIO ALFREDO PESSOA FIGUEIREDO","E","AM","1"
"EMEF PROF ARISTIDES DA COSTA E SILVA","M","SP","1"
"EMEF MANOEL DE PAULA SERRAO","M","ES","1"
"EMEF DIONIZIO MILIOLI","M","SC","1"
"ELIZA RACHEL MACEDO DE SOUZA PROFA","E","SP","1"
"JOSE GONSO PROF EMEF","M","SP","1"
"EEB NATALIO VASSOLER","E","SC","1"
"EMEIEF PROF LILI COELHO","M","SC","1"
"EM EVERSON MAGALHAES LAGE","M","MG","1"
"ESC EST DE ENS. FUNDAMENTAL INDEPENDENCIA","E","RS","1"
"THEREZINHA RODRIGUES PROFA","E","SP","1"
"SUELI OLIVEIRA SILVA MARTINS PROFESSORA","E","SP","1"
"CE CÍVICO-MILITAR SENADOR MANOEL ALENCAR GUIMARÃES EFM","E","PR","1"
"EE PROF ARY PINTO DAS NEVES","E","SP","1"
"ESC.EST.PROF. SAMUEL BENCHIMOL","E","AM","1"
"MARIA DE LOURDES VASCONCELOS","M","CE","1"
"ESC MUN ENS FUN 29 DE SETEMBRO","M","RS","1"
"EE RAULINO PACHECO","E","MG","1"
"EMEB PROFA MARIA CECILIA PACIFICO DE FARIA","M","SP","1"
"ONOFRA DA SILVA EMEF","M","SP","1"
"ESCOLA ESTADUAL EROTILDES HUBNER BORGES","E","MG","1"
"EB PROFª JUDITH DUARTE DE OLIVEIRA","M","SC","1"
"SENHORINHA M.SARMENTO, C E - E FUND MED","E","PR","1"
